asl_gloss,sentence
DISCHARGE 2005 TRANSLATION CENTER FOR BODY EUROPEAN UNION VOTE,discharge 2005 translation centre for the bodies of the european union vote

REPORT HERCZOG,report herczog

DISCHARGE 2005 EUROPEAN AGENCY FOR EVALUATION MEDICINAL PRODUCT VOTE,discharge 2005 european agency for the evaluation of medicinal products vote

REPORT HERCZOG,report herczog

DISCHARGE 2005 EUROJUST VOTE,discharge 2005 eurojust vote

REPORT HERCZOG,report herczog

DISCHARGE 2005 EUROPEAN TRAINING FOUNDATION VOTE,discharge 2005 european training foundation vote

REPORT HERCZOG,report herczog

DISCHARGE 2005 EUROPEAN MARITIME SAFETY AGENCY VOTE,discharge 2005 european maritime safety agency vote

REPORT HERCZOG,report herczog

DISCHARGE 2005 EUROPEAN AVIATION SAFETY AGENCY VOTE,discharge 2005 european aviation safety agency vote

REPORT HERCZOG,report herczog

DISCHARGE 2005 EUROPEAN FOOD SAFETY AUTHORITY VOTE,discharge 2005 european food safety authority vote

REPORT HERCZOG,report herczog

DISCHARGE 2005 EUROPEAN CENTER FOR DISEASE PREVENTION AND CONTROL VOTE,discharge 2005 european centre for disease prevention and control vote

REPORT HERCZOG,report herczog

DISCHARGE 2005 EUROPEAN NETWORK AND INFORMATION SECURITY AGENCY VOTE,discharge 2005 european network and information security agency vote

REPORT HERCZOG,report herczog

DISCHARGE 2005 SECTION VII  COMMITTEE REGION VOTE,discharge 2005 section vii  committee of the regions vote

REPORT CASPARY,report caspary

DISCHARGE 2005 EUROPEAN AGENCY FOR RECONSTRUCTION VOTE,discharge 2005 european agency for reconstruction vote

REPORT HERCZOG,report herczog

COMBATE HIV AID WITHIN EU AND IN NEIGHBOURING COUNTRY 2006 2009 VOTE,combating hiv / aids within the eu and in the neighbouring countries 2006 2009 vote

REPORT ANDREJEV,report andrejevs

THAT CONCLUDE VOTE .,that concludes the vote .

CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes

SIT BE SUSPEND AT 1.20 DESC-P.M. AND RESUME AT 3.05 DESC-P.M.,the sitting was suspended at 1.20 p.m. and resumed at 3.05 p.m.

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

MOVE INADMISSIBILITY MATTER HOMOPHOBIA IN EUROPE SEE MINUTE,moving the inadmissibility of a matter homophobia in europe see minutes

SIT BE SUSPEND AT 7.35 DESC-P.M. AND RESUME AT 9.00 DESC-P.M.,the sitting was suspended at 7.35 p.m. and resumed at 9.00 p.m.

AGENDA FOR NEXT SIT SEE MINUTE,agenda for next sitting see minutes

CLOSURE SIT,closure of sitting

SIT BE DESC-CLOSE AT 11.45 DESC-P.M.,the sitting was closed at 11.45 p.m.

OPEN SIT,opening of the sitting

SIT BE DESC-OPEN AT 9 DESC-A.M.,the sitting was opened at 9 a.m.

TRANSMISSION DESC-NATIONAL ACCOUNT DATUM VOTE,transmission of national accounts data vote

GARCa MARGALLO Y MARFIL REPORT,garcía margallo y marfil report

SOME MEMBER CONTINUE TO PROTEST AND TO REQUEST FLOOR,some members continued to protest and to request the floor

DESC-MULTILATERAL AGREEMENT ON ESTABLISHMENT EUROPEAN DESC-COMMON AVIATION AREA VOTE,multilateral agreement on the establishment of a european common aviation area vote

LICHTENBERGER REPORT,lichtenberger report

AFTER VOTE  COMMOTION GROW LOUDER,after the vote  the commotion grew louder

FRAMEWORK AGREEMENT ON DESC-MULTILATERAL DESC-NUCLEAR DESC-ENVIRONMENTAL PROGRAM IN RUSSIAN FEDERATION VOTE,framework agreement on a multilateral nuclear environmental programme in the russian federation vote

REMEK REPORT,remek report

VOTE TIME CONTINUE,voting time continued

ASSESSMENT AND MANAGEMENT FLOOD RISK VOTE,assessment and management of flood risks vote

SEEBER RECOMMENDATION,seeber recommendation

VOTE TIME CONTINUE,voting time continued

PORT STATE CONTROL VOTE,port state control vote

VLASTO REPORT,vlasto report

SHIP INSPECTION AND SURVEY ORGANIZATION VOTE,ship inspection and survey organisations vote

DE GRANDE PASCUAL REPORT,de grandes pascual report

DESC-TEMPORARY COMMITTEE ON CLIMATE CHANGE VOTE,temporary committee on climate change vote

PROPOSAL FOR DECISION,proposal for a decision

DAMAGES ACTION FOR BREACH COMPETITION RULE VOTE,damages actions for breach of competition rules vote

Sà`NCHEZ PRESEDO REPORT,sánchez presedo report

DESC-MULTILATERAL AGREEMENT ON ESTABLISHMENT EUROPEAN DESC-COMMON AVIATION AREA VOTE,multilateral agreement on the establishment of a european common aviation area vote

MOTION FOR RESOLUTION,motion for a resolution

DESC-MATIC STRATEGY ON DESC-SUSTAINABLE USE DESC-NATURAL RESOURCE VOTE,thematic strategy on the sustainable use of natural resources vote

LIOTARD REPORT,liotard report

VOTE TIME CONTINUE,voting time continued

CORRECTION TO VOTE FROM DESC-PREVIOUS SIT SEE MINUTE,corrections to votes from previous sittings see minutes

SIT BE SUSPEND AT 2 DESC-P.M. AND RESUME AT 3 DESC-P.M.,the sitting was suspended at 2 p.m. and resumed at 3 p.m.

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

AGENDA FOR NEXT SIT SEE MINUTE,agenda for next sitting see minutes

CLOSURE SIT,closure of sitting

SIT BE DESC-CLOSE AT 11.25 DESC-P.M.,the sitting was closed at 11.25 p.m.

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

TRANSFER APPROPRIATION SEE MINUTE,transfers of appropriations see minutes

COMMUNICATION COUNCIL DESC-COMMON POSITION SEE MINUTE,communication of council common positions see minutes

SIT BE SUSPEND AT 11.20 DESC-A.M. AND RESUME AT 12.00 NOON,the sitting was suspended at 11.20 a.m. and resumed at 12.00 noon

DIRECTIVE CONCERN PROTECTION HEALTH AND SAFETY WORKER SIMPLIFY AND RATIONALISE DESC-PRACTICAL IMPLEMENTATION REPORT VOTE,directives concerning the protection of health and safety of workers simplifying and rationalising practical implementation reports vote

FIGUEIREDO REPORT,figueiredo report

COMPENSATION FOR DESC-CERTAIN FISHERY PRODUCT VOTE,compensation for certain fishery products vote

FREITA REPORT,freitas report

DESC-COMMON FISHERY POLICY DESC-REGIONAL DESC-ADVISORY COUNCIL VOTE,common fisheries policy regional advisory councils vote

ATTWOOLL REPORT,attwooll report

SITUATION DESC-DISABLED WOMAN IN EUROPEAN UNION VOTE,situation of disabled women in the european union vote

HERRANZ GARCa REPORT,herranz garcía report

DESC-BASIC INFORMATION ON PURCHASE POWER PARITY VOTE,basic information on purchasing power parities vote

BOWLE REPORT,bowles report

DESC-RAPID BORDER INTERVENTION TEAM VOTE,rapid border intervention teams vote

DEPREZ REPORT,deprez report

CONSERVATION AND DESC-SUSTAINABLE EXPLOITATION FISHERY RESOURCE VOTE,conservation and sustainable exploitation of fisheries resources vote

GKLAVAKUS REPORT,gklavakis report

GALILEO VOTE,galileo vote

MOTION FOR RESOLUTION,motion for a resolution

PUBLIC FINANCES IN EMU 2006 VOTE,public finances in the emu 2006 vote

LAUK REPORT,lauk report

THAT CONCLUDE VOTING TIME .,that concludes voting time .

CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes

SIT BE SUSPEND AT 12.50 DESC-P.M. AND RESUME AT 3.00 DESC-P.M.,the sitting was suspended at 12.50 p.m. and resumed at 3.00 p.m.

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

AGENDA SEE MINUTE,agenda see minutes

DEBATE ON CASE BREACH DESC-HUMAN RIGHTS  DEMOCRACY AND RULE LAW,debates on cases of breaches of human rights  democracy and the rule of law

DESC-RECENT REPRESSION DEMONSTRATION IN RUSSIUM VOTE,recent repression of demonstrations in russia vote

DESC-JOINT MOTION FOR RESOLUTION RC B6 0172 2007,joint motion for a resolution rc b6 0172 / 2007

KIDNAPPING IN GAZA JOURNALIST ALAN JOHNSTON VOTE,kidnapping in gaza of the journalist alan johnston vote

DESC-JOINT MOTION FOR RESOLUTION RC B6 0159 2007,joint motion for a resolution rc b6 0159 / 2007

DESC-HUMAN RIGHTS SITUATION IN PHILIPPINE VOTE,human rights situation in the philippines vote

DESC-JOINT MOTION FOR RESOLUTION RC B6 0160 2007,joint motion for a resolution rc b6 0160 / 2007

ZIMBABWE VOTE,zimbabwe vote

DESC-JOINT MOTION FOR RESOLUTION RC B6 0162 2007,joint motion for a resolution rc b6 0162 / 2007

VOTE TIME,voting time

FOR RESULT AND DESC-OR DETAIL ON VOTE SEE MINUTE,for the results and other details on the vote see minutes

CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes

MEMBERSHIP PARLIAMENT SEE MINUTE,membership of parliament see minutes

MEMBERSHIP COMMITTEE AND DELEGATION SEE MINUTE,membership of committees and delegations see minutes

VERIFICATION CREDENTIALS SEE MINUTE,verification of credentials see minutes

DECISION CONCERN DESC-CERTAIN DOCUMENT SEE MINUTE,decisions concerning certain documents see minutes

WRITE STATEMENT FOR ENTRY IN REGISTER RULE 116 SEE MINUTE,written statements for entry in the register rule 116 see minutes

FORWARDING TEXT ADOPT DURING SIT SEE MINUTE,forwarding of texts adopted during the sitting see minutes

DATE FOR NEXT SIT SEE MINUTE,dates for next sittings see minutes

ADJOURNMENT SESSION,adjournment of the session

X-I DECLARE ADJOURN SESSION EUROPEAN PARLIAMENT .,i declare adjourned the session of the european parliament .

SIT DESC-CLOSE AT 5 DESC-P.M.,the sitting closed at 5 p.m.

MEMBERSHIP DESC-TEMPORARY COMMITTEE ON CLIMATE CHANGE DEADLINE FOR TABLE AMENDMENT SEE MINUTE,membership of the temporary committee on climate change deadline for tabling amendments see minutes

DECLARATION DESC-FINANCIAL INTEREST SEE MINUTE,declaration of financial interests see minutes

WRITE STATEMENT TABLE SEE MINUTE,written statements tabling see minutes

WRITE STATEMENT RULE 116 SEE MINUTE,written statements rule 116 see minutes

TEXT AGREEMENT DESC-FORWARD BY COUNCIL SEE MINUTE,texts of agreements forwarded by the council see minutes

ACTION TAKE ON PARLIAMENT X-POSS POSITION AND RESOLUTION SEE MINUTE,action taken on parliament's positions and resolutions see minutes

AGENDA FOR NEXT SIT SEE MINUTE,agenda for next sitting see minutes

CLOSURE SIT,closure of sitting

SIT BE DESC-CLOSE AT 11.25 DESC-P.M.,the sitting was closed at 11.25 p.m.

OPEN SIT,opening of the sitting

SIT BE DESC-OPEN AT 9.05 DESC-A.M.,the sitting was opened at 9.05 a.m.

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

TEXT AGREEMENT DESC-FORWARD BY COUNCIL SEE MINUTE,texts of agreements forwarded by the council see minutes

TRANSFER APPROPRIATION SEE MINUTE,transfers of appropriations see minutes

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

SIMPLIFICATION COMMUNITY LEGISLATION AMENDMENT RULE PROCEDURE VOTE,simplification of community legislation amendments of the rules of procedure vote

REPORT REYNAUD,report reynaud

DESC-NOMINAL QUANTITY FOR PRE PACK PRODUCT VOTE,nominal quantities for pre packed products vote

RECOMMENDATION TOUBON,recommendation toubon

APPROVAL MOTOR VEHICLE AND X-Y TRAILER VOTE,approval of motor vehicles and their trailers vote

RECOMMENDATION HARBOR,recommendation harbour

RETROFITTING MIRROR TO HEAVY GOODS VEHICLE VOTE,retrofitting of mirrors to heavy goods vehicles vote

REPORT COSTA,report costa

COMPOSITION DESC-TEMPORARY COMMITTEE ON CLIMATE CHANGE VOTE,composition of the temporary committee on climate change vote

PROPOSAL CONFERENCE PRESIDENT,proposals of the conference of presidents

EU PARTNERSHIP IN HORN AFRICA VOTE,eu partnership in the horn of africa vote

REPORT KACZMAREK,report kaczmarek

ASSESS EURATOM VOTE,assessing euratom vote

REPORT MALDEIKUS,report maldeikis

DESC-ENVIRONMENTAL PROTECTION FROM RADIATION FOLLOW CRASH DESC-MILITARY AIRCRAFT IN GREENLAND VOTE,environmental protection from radiation following the crash of a military aircraft in greenland vote

REPORT WALLUS,report wallis

HOUSING AND DESC-REGIONAL POLICY VOTE,housing and regional policy vote

REPORT ANDRIUM,report andria

FUTURE DESC-REGIONAL POLICY AND INNOVATION VOTE,future regional policy and innovation vote

REPORT JANOWSKUS,report janowski

CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes

REQUEST FOR DEFENSE DESC-PARLIAMENTARY IMMUNITY SEE MINUTE,request for the defence of parliamentary immunity see minutes

FORWARDING TEXT ADOPT DURING SIT SEE MINUTE,forwarding of texts adopted during the sitting see minutes

DATE FOR NEXT SIT SEE MINUTE,dates for next sittings see minutes

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

MEMBERSHIP PARLIAMENT SEE MINUTE,membership of parliament see minutes

SIGNATURE ACT ADOPT UNDER CODECISION SEE MINUTE,signature of acts adopted under codecision see minutes

ESTABLISH DESC-GREEN HYDROGEN ECONOMY AND DESC-THIRD DESC-INDUSTRIAL REVOLUTION IN EUROPE WRITE STATEMENT SEE MINUTE,establishing a green hydrogen economy and a third industrial revolution in europe written statement see minutes

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

TEXT AGREEMENT DESC-FORWARD BY COUNCIL SEE MINUTE,texts of agreements forwarded by the council see minutes

DESC-ORAL QUESTION AND WRITE STATEMENT TABLE SEE MINUTE,oral questions and written statements tabling see minutes

WRITE STATEMENT RULE 116 SEE MINUTE,written statements rule 116 see minutes

PETITION SEE MINUTE,petitions see minutes

TRANSFER APPROPRIATION SEE MINUTE,transfers of appropriations see minutes

DECLARATION DESC-FINANCIAL INTEREST SEE MINUTE,declaration of financial interests see minutes

AGENDA FOR NEXT SIT SEE MINUTE,agenda for next sitting see minutes

CLOSURE SIT,closure of sitting

SIT BE DESC-CLOSE AT 10.10 DESC-P.M.,the sitting was closed at 10.10 p.m.

OPEN SIT,opening of the sitting

SIT BE DESC-OPEN AT 9 DESC-A.M.,the sitting was opened at 9 a.m.

CALENDAR PART SESSION SEE MINUTE,calendar of part sessions see minutes

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

EC RUSSIUM FISHERY AND CONSERVATION AGREEMENT VOTE,ec russia fisheries and conservation agreement vote

REPORT MORILLON,report morillon

DESC-FINANCIAL INSTRUMENT FOR ENVIRONMENT LIFE + VOTE,financial instrument for the environment life + vote

REPORT ISLER Bà?GUIN,report isler béguin

COMBATE VIOLENCE DAPHNE IIUS PROGRAM VOTE,combating violence daphne iii programme vote

RECOMMENDATION GRà?NER,recommendation gröner

DESC-ENVIRONMENTAL QUALITY STANDARD IN FIELD WATER POLICY VOTE,environmental quality standards in the field of water policy vote

REPORT LAPERROUZE,report laperrouze

FISHERY PARTNERSHIP AGREEMENT BETWEEN EC AND DENMARK AND GREENLAND VOTE,fisheries partnership agreement between the ec and denmark and greenland vote

REPORT POST,report post

DELEGATION TO EUROLAT VOTE,delegation to eurolat vote

DECISION,decision

HALT LOSS BIODIVERSITY BY 2010 VOTE,halting the loss of biodiversity by 2010 vote

REPORT ADAMOU,report adamou

CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes

SIT BE SUSPEND AT 12.50 DESC-P.M. AND RESUME AT 3.05 DESC-P.M.,the sitting was suspended at 12.50 p.m. and resumed at 3.05 p.m.

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

COMPOSITION DELEGATION TO EUROLAT SEE MINUTE,composition of the delegation to eurolat see minutes

ACTION TAKE ON PARLIAMENT X-POSS POSITION AND RESOLUTION SEE MINUTE,action taken on parliament's positions and resolutions see minutes

AGENDA FOR NEXT SIT SEE MINUTE,agenda for next sitting see minutes

CLOSURE SIT,closure of sitting

SIT BE DESC-CLOSE AT 11.55 DESC-P.M.,the sitting was closed at 11.55 p.m.

OPEN SIT,opening of the sitting

SIT BE DESC-OPEN AT 9.00 DESC-A.M.,the sitting was opened at 9.00 a.m.

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

COMMUNITY DESC-FINANCIAL AID IN FIELD TRAN EUROPEAN TRANSPORT AND ENERGY NETWORK VOTE,community financial aid in the field of the trans european transport and energy networks vote

REPORT MAURO,report mauro

EC MEXICO DESC-ECONOMIC PARTNERSHIP  DESC-POLITICAL COORDINATION AND COOPERATION AGREEMENT VOTE,ec mexico economic partnership  political coordination and cooperation agreement vote

REPORT MARKOV,report markov

COMPOSITION DELEGATION TO EUROLAT VOTE,composition of the delegation to eurolat vote

DESC-STRUCTURAL POLICY AND EU COHESION VOTE,structural policies and eu cohesion vote

REPORT PLEGUEZUELO AGUILAR,report pleguezuelos aguilar

EU X-POSS AID FOR TRADE VOTE,the eu's aid for trade vote

REPORT DAVID MARTIN,report david martin

DESC-DECENT WORK VOTE,decent work vote

REPORT PANAYOTOPOULO CASSIOTOU,report panayotopoulos cassiotou

THAT CONCLUDE VOTE .,that concludes the vote .

VOTE TIME,voting time

NEXT ITEM BE VOTE .,the next item is the vote .

FOR RESULT AND DESC-OR DETAIL ON VOTE SEE MINUTE,for the results and other details on the vote see minutes

CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes

SIT BE SUSPEND AT 13.10 AND RESUME AT 15.00,the sitting was suspended at 13.10 and resumed at 15.00

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

AGENDA FOR NEXT SIT SEE MINUTE,agenda for next sitting see minutes

CLOSURE SIT,closure of sitting

SIT BE DESC-CLOSE AT 12 MIDNIGHT,the sitting was closed at 12 midnight

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

TRANSFER APPROPRIATION SEE MINUTE,transfers of appropriations see minutes

DESC-COMMON ORGANIZATION DESC-AGRICULTURAL MARKET VOTE,common organisation of agricultural markets vote

BUSK REPORT,busk report

SITUATION IN NIGERIUM VOTE,situation in nigeria vote

MOTION FOR RESOLUTION,motion for a resolution

DESC-INTERNATIONAL TRADE IN ENDANGER SPECIES DESC-WILD FAUNA AND FLORA CITE VOTE,international trade in endangered species of wild fauna and flora cites vote

MOTION FOR RESOLUTION,motion for a resolution

INNOVATION STRATEGY VOTE,innovation strategy vote

GIEREK REPORT,gierek report

TACKLE ORGANISE CRIME VOTE,tackling organised crime vote

NEWTON DUNN REPORT,newton dunn report

ESTONIUM VOTE,estonia vote

MOTION FOR RESOLUTION,motion for a resolution

VOTE TIME CONTINUE,voting time continued

CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes

SIT BE SUSPEND AT 12.45 DESC-P.M. AND RESUME AT 3.00 DESC-P.M.,the sitting was suspended at 12.45 p.m. and resumed at 3.00 p.m.

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

AGENDA SEE MINUTE,agenda see minutes

DEBATE ON CASE BREACH DESC-HUMAN RIGHTS  DEMOCRACY AND RULE LAW DEBATE,debates on cases of breaches of human rights  democracy and the rule of law debate

THAT CONCLUDE VOTE .,that concludes the vote .

VERIFICATION CREDENTIALS SEE MINUTE,verification of credentials see minutes

MEMBERSHIP PARLIAMENT SEE MINUTE,membership of parliament see minutes

REQUEST FOR DEFENSE DESC-PARLIAMENTARY IMMUNITY SEE MINUTE,request for the defence of parliamentary immunity see minutes

MEMBERSHIP COMMITTEE AND DELEGATION SEE MINUTE,membership of committees and delegations see minutes

WRITE STATEMENT FOR ENTRY IN REGISTER RULE 116 SEE MINUTE,written statements for entry in the register rule 116 see minutes

DECISION CONCERN DESC-CERTAIN DOCUMENT SEE MINUTE,decisions concerning certain documents see minutes

FORWARDING TEXT ADOPT DURING SIT SEE MINUTE,forwarding of texts adopted during the sitting see minutes

DATE FOR NEXT SIT SEE MINUTE,dates for next sittings see minutes

ADJOURNMENT SESSION,adjournment of the session

X-I DECLARE SESSION EUROPEAN PARLIAMENT ADJOURN .,i declare the session of the european parliament adjourned .

SIT BE DESC-CLOSE AT 4.25 DESC-P.M.,the sitting was closed at 4.25 p.m.

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

DESC-ORAL QUESTION AND WRITE STATEMENT TABLE SEE MINUTE,oral questions and written statements tabling see minutes

WRITE STATEMENT RULE 116 SEE MINUTE,written statements rule 116 see minutes

REQUEST FOR DEFENSE DESC-PARLIAMENTARY IMMUNITY SEE MINUTE,request for the defence of parliamentary immunity see minutes

ACTION TAKE ON PARLIAMENT X-POSS RESOLUTION SEE MINUTE,action taken on parliament's resolutions see minutes

TEXT AGREEMENT DESC-FORWARD BY COUNCIL SEE MINUTE,texts of agreements forwarded by the council see minutes

DECISION CONCERN DESC-CERTAIN DOCUMENT SEE MINUTE,decisions concerning certain documents see minutes

MEMBERSHIP COMMITTEE AND DELEGATION SEE MINUTE,membership of committees and delegations see minutes

AGENDA FOR NEXT SIT SEE MINUTE,agenda for next sitting see minutes

CLOSURE SIT,closure of sitting

SIT BE DESC-CLOSE AT 00.05 DESC-A.M.,the sitting was closed at 00.05 a.m.

OPEN SIT,opening of the sitting

SIT DESC-OPEN AT 9.40 DESC-A.M.,the sitting opened at 9.40 a.m.

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

PROTOCOL TO EC RUSSIUM PARTNERSHIP AND COOPERATION AGREEMENT FOLLOW ACCESSION BULGARIUM AND ROMANIUM VOTE,protocol to the ec russia partnership and cooperation agreement following the accession of the bulgaria and romania vote

REPORT SARYUSZ WOLSKUS,report saryusz wolski

CONSERVATION AND ENFORCEMENT MEASURE DESC-APPLICABLE IN DESC-REGULATORY AREA DESC-NORTHWEST ATLANTIC FISHERY ORGANIZATION VOTE,conservation and enforcement measures applicable in the regulatory area of the northwest atlantic fisheries organisation vote

REPORT CAPOULUM SANTO,report capoulas santos

MOBILISATION SOLIDARITY FUND FLOOD IN DESC-HUNGARY AND GREECE VOTE,mobilisation of the solidarity fund floods in hungary and greece vote

REPORT Bà?GE,report böge

DRAFT AMEND BUDGET NO 2 2007 VOTE,draft amending budget no 2 / 2007 vote

REPORT ELLE,report elles

DRAFT AMEND BUDGET NO 3 2007 VOTE,draft amending budget no 3 / 2007 vote

REPORT ELLE,report elles

ADDITION VITAMIN AND MINERAL AND DESC-CERTAIN DESC-OR SUBSTANCE TO FOOD VOTE,addition of vitamins and minerals and of certain other substances to foods vote

REPORT SCHEELE,report scheele

NUTRITION AND HEALTH CLAIM MAKE ON FOOD VOTE,nutrition and health claims made on foods vote

REPORT POLUS BORTONE,report poli bortone

VISA INFORMATION SYSTEM VIS VOTE,visa information system vis vote

REPORT LUDFORD,report ludford

PRà14 M TREATY CROSS BORDER COOPERATION IN COMBATE TERRORISM AND CROSS BORDER CRIME VOTE,prüm treaty cross border cooperation in combating terrorism and cross border crime vote

REPORT CORREIUM,report correia

PROTECTION DESC-PERSONAL DATUM VOTE,protection of personal data vote

REPORT ROURE,report roure

BALTIC SEA COD VOTE,baltic sea cod vote

REPORT CHMIELEWSKUS,report chmielewski

DESC-REGIONAL STRATEGY PAPERS AND DESC-REGIONAL DESC-INDICATIVE PROGRAM FOR MERCOSUR AND LATIN AMERICA VOTE,regional strategy papers and regional indicative programmes for mercosur and latin america vote

MOTION FOR RESOLUTION,motion for a resolution

UNITE NATION DESC-HUMAN RIGHTS COUNCIL VOTE,united nations human rights council vote

MOTION FOR RESOLUTION,motion for a resolution

DRAFT ESTIMATE EUROPEAN PARLIAMENT FOR 2008 VOTE,draft estimates of the european parliament for 2008 vote

REPORT ITÍ,report itälä

THAT CONCLUDE VOTE .,that concludes the vote .

CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes

MEMBERSHIP COMMITTEE AND DELEGATION SEE MINUTE,membership of committees and delegations see minutes

FORWARDING TEXT ADOPT DURING SIT SEE MINUTE,forwarding of texts adopted during the sitting see minutes

DATE FOR NEXT SIT SEE MINUTE,dates for next sittings see minutes

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

MEMBERSHIP PARLIAMENT SEE MINUTE,membership of parliament see minutes

VERIFICATION CREDENTIALS SEE MINUTE,verification of credentials see minutes

MEMBERSHIP COMMITTEE SEE MINUTE,membership of committees see minutes

SIGNATURE ACT ADOPT UNDER CODECISION SEE MINUTE,signature of acts adopted under codecision see minutes

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

WRITE STATEMENT RULE 116 SEE MINUTE,written statements rule 116 see minutes

DESC-ORAL QUESTION AND WRITE STATEMENT TABLE SEE MINUTE,oral questions and written statements tabling see minutes

PETITION SEE MINUTE,petitions see minutes

TEXT AGREEMENT DESC-FORWARD BY COUNCIL SEE MINUTE,texts of agreements forwarded by the council see minutes

AGENDA FOR NEXT SIT SEE MINUTE,agenda for next sitting see minutes

CLOSURE SIT,closure of sitting

SIT BE DESC-CLOSE AT 11 DESC-P.M.,the sitting was closed at 11 p.m.

OPEN SIT,opening of the sitting

SIT BE DESC-OPEN AT 9.05 DESC-A.M.,the sitting was opened at 9.05 a.m.

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

DEADLINE FOR TABLE AMENDMENT SEE MINUTE,deadline for tabling amendments see minutes

PROTECTION EMPLOYEE IN EVENT INSOLVENCY X-Y EMPLOYER CODIFY VERSION VOTE,protection of employees in the event of the insolvency of their employer codified version vote

WALLUS REPORT,wallis report

INTEGRATE POLLUTION PREVENTION AND CONTROL CODIFY VERSION VOTE,integrated pollution prevention and control codified version vote

WALLUS REPORT,wallis report

CONTROL  TELL TALE AND INDICATOR FOR TWO OR THREE WHEEL MOTOR VEHICLE CODIFY VERSION VOTE,controls  tell tales and indicators for two or three wheel motor vehicles codified version vote

WALLUS REPORT,wallis report

INJUNCTION FOR PROTECTION CONSUMERSINTEREST CODIFY VERSION VOTE,injunctions for the protection of consumersinterests codified version vote

WALLUS REPORT,wallis report

STEERING EQUIPMENT WHEEL DESC-AGRICULTURAL OR FORESTRY TRACTOR CODIFY VERSION VOTE,steering equipment of wheeled agricultural or forestry tractors codified version vote

WALLUS REPORT,wallis report

MAXIMUM SPEED AND LOAD PLATFORM FOR WHEEL DESC-AGRICULTURAL OR FORESTRY TRACTOR CODIFY VERSION VOTE,maximum speed of and load platforms for wheeled agricultural or forestry tractors codified version vote

WALLUS REPORT,wallis report

PART AND DESC-CHARACTERISTIC WHEEL DESC-AGRICULTURAL OR FORESTRY TRACTOR CODIFY VERSION VOTE,parts and characteristics of wheeled agricultural or forestry tractors codified version vote

WALLUS REPORT,wallis report

FIELD VISION AND WINDSCREEN WIPER FOR WHEEL DESC-AGRICULTURAL OR FORESTRY TRACTOR CODIFY VERSION VOTE,field of vision and windscreen wipers for wheeled agricultural or forestry tractors codified version vote

WALLUS REPORT,wallis report

